Period,Months,Total Filings,Tenant w/ Lawyer,Landlord w/ Lawyer,"Representation Gap
(landlord − tenant)"
Before RTC (Jan 2023 - Jul 2024),19,"8,385",2.4%,88.6%,86.2 pp
After RTC (Aug 2024 - Dec 2025),17,"6,861",3.1%,90.7%,87.7 pp
